,MX导弹议案:?,MX导弹议案:n,MX导弹议案:y,免税出口决议案:?,免税出口决议案:n,免税出口决议案:y,党派:democrat,党派:republican,医生费用冻结议案:?,医生费用冻结议案:n,医生费用冻结议案:y,南非出口管理决议案:?,南非出口管理决议案:n,南非出口管理决议案:y,反卫星禁试决议:?,反卫星禁试决议:n,反卫星禁试决议:y,合成燃料公司削减决议:?,合成燃料公司削减决议:n,合成燃料公司削减决议:y,援助尼加拉瓜反政府:?,援助尼加拉瓜反政府:n,援助尼加拉瓜反政府:y,教育支出决议:?,教育支出决议:n,教育支出决议:y,校园宗教团体决议:?,校园宗教团体决议:n,校园宗教团体决议:y,残疾人婴幼儿法案:?,残疾人婴幼儿法案:n,残疾人婴幼儿法案:y,水项目费用分摊:?,水项目费用分摊:n,水项目费用分摊:y,犯罪决议案:?,犯罪决议案:n,犯罪决议案:y,移民决议案:?,移民决议案:n,移民决议案:y,萨尔瓦多援助:?,萨尔瓦多援助:n,萨尔瓦多援助:y,超级基金起诉权:?,超级基金起诉权:n,超级基金起诉权:y,预算决议案:?,预算决议案:n,预算决议案:y
0,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False
1,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False
2,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True
3,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
4,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True
5,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True
6,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False
7,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False
8,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False
9,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
